	COMPANYNAME	REGION	Latitude	Longitude	Venue	Venue Latitude	Venue Longitude	Venue Category
0	FaceBook	DUBLIN	53.329515	-6.2256781	The Good Food Store	53.33047794472539	-6.224751937950682	Food & Drink Shop
1	FaceBook	DUBLIN	53.329515	-6.2256781	The Bridge 1859	53.329318835781386	-6.231767538771356	Pub
2	FaceBook	DUBLIN	53.329515	-6.2256781	Baan Thai Restaurant	53.328831514192956	-6.230289809266218	Thai Restaurant
3	FaceBook	DUBLIN	53.329515	-6.2256781	Base Wood Fired Pizza	53.328868600263846	-6.230201898193268	Pizza Place
4	FaceBook	DUBLIN	53.329515	-6.2256781	InterContinental Dublin	53.3266078	-6.226079	Hotel
5	FaceBook	DUBLIN	53.329515	-6.2256781	Aviva Stadium	53.33475615864167	-6.228088097073558	Soccer Stadium
6	FaceBook	DUBLIN	53.329515	-6.2256781	Herbert Park	53.32715616909083	-6.234802847745723	Park
7	FaceBook	DUBLIN	53.329515	-6.2256781	The French Paradox	53.33018091081431	-6.231942766086345	Wine Bar
8	FaceBook	DUBLIN	53.329515	-6.2256781	RDS Stadium	53.3255073437073	-6.229042377882115	Stadium
9	FaceBook	DUBLIN	53.329515	-6.2256781	The Spa at InterContinental Dublin	53.3266786861694	-6.2263511775907645	Spa
10	FaceBook	DUBLIN	53.329515	-6.2256781	Press Cafe	53.33505764739972	-6.235269426252875	Café
11	FaceBook	DUBLIN	53.329515	-6.2256781	Mink Hand & Foot Spa	53.3313720162544	-6.231527476191298	Nail Salon
12	FaceBook	DUBLIN	53.329515	-6.2256781	Bujo Burger	53.332090910476595	-6.214642645090994	Burger Joint
13	FaceBook	DUBLIN	53.329515	-6.2256781	Ariel House	53.33419400803916	-6.231051338389682	Hotel
14	FaceBook	DUBLIN	53.329515	-6.2256781	Pembroke Wanderers Hockey Club	53.32901124718506	-6.223840473509074	Hockey Field
15	FaceBook	DUBLIN	53.329515	-6.2256781	Paulie's Pizza	53.337259766693194	-6.234690803704816	Pizza Place
16	FaceBook	DUBLIN	53.329515	-6.2256781	Juniors Deli Cafe	53.33715952435395	-6.2342225964389	Café
17	FaceBook	DUBLIN	53.329515	-6.2256781	Sandymount Green	53.332015450533085	-6.215094651082514	Garden
18	FaceBook	DUBLIN	53.329515	-6.2256781	Lotts & Co	53.337662471068384	-6.233528838007845	Gourmet Shop
19	FaceBook	DUBLIN	53.329515	-6.2256781	Farmer Browns	53.33726019892185	-6.231863534833305	Café
20	FaceBook	DUBLIN	53.329515	-6.2256781	Sanuk Thai	53.32985480495402	-6.232338529621999	Thai Restaurant
21	FaceBook	DUBLIN	53.329515	-6.2256781	National Print Museum	53.33510415874548	-6.235390099601148	Museum
22	FaceBook	DUBLIN	53.329515	-6.2256781	The Bath	53.337374176474874	-6.2321477607528895	Pub
23	FaceBook	DUBLIN	53.329515	-6.2256781	Sandymount Strand	53.327720530946486	-6.208133697509766	Beach
24	FaceBook	DUBLIN	53.329515	-6.2256781	The Orange Goat	53.330452	-6.225113	Café
25	FaceBook	DUBLIN	53.329515	-6.2256781	Foodgame	53.33745241241583	-6.234235490380064	Café
26	FaceBook	DUBLIN	53.329515	-6.2256781	Royal Dublin Society (RDS)	53.32757996473204	-6.22906836192335	Convention Center
27	FaceBook	DUBLIN	53.329515	-6.2256781	The Merry Cobbler	53.33859906092062	-6.222624207309973	Pub
28	FaceBook	DUBLIN	53.329515	-6.2256781	Ravi's	53.32981269693705	-6.2324250790551226	Indian Restaurant
29	FaceBook	DUBLIN	53.329515	-6.2256781	Westwood Health Club	53.3256572776457	-6.209293427915944	Gym
30	FaceBook	DUBLIN	53.329515	-6.2256781	The Lobster Pot	53.329305	-6.23203102	Seafood Restaurant
31	FaceBook	DUBLIN	53.329515	-6.2256781	Mulberry Garden	53.32265875223265	-6.236801375197792	Restaurant
32	FaceBook	DUBLIN	53.329515	-6.2256781	SPORTSCO	53.339269309475455	-6.23038689233817	Gym / Fitness Center
33	FaceBook	DUBLIN	53.329515	-6.2256781	The Old Spot	53.33733357390815	-6.2331144589680205	Gastropub
34	FaceBook	DUBLIN	53.329515	-6.2256781	The Schoolhouse Bar	53.3373418499578	-6.239585178618902	Pub
35	FaceBook	DUBLIN	53.329515	-6.2256781	Marco Pierre White Courtyard	53.322693937636245	-6.238742673320479	Restaurant
36	FaceBook	DUBLIN	53.329515	-6.2256781	Arthur Mayne's Pub	53.321629110083485	-6.235264782590321	Pub
37	FaceBook	DUBLIN	53.329515	-6.2256781	Google Gym	53.33987733270209	-6.237345635890961	Gym
38	FaceBook	DUBLIN	53.329515	-6.2256781	Orchid Szechuan Restaurant	53.33246293496805	-6.236250720015116	Asian Restaurant
39	FaceBook	DUBLIN	53.329515	-6.2256781	Dylan Hotel	53.33371867679343	-6.241937727174799	Hotel
40	FaceBook	DUBLIN	53.329515	-6.2256781	Baggot Street Wines	53.33237385692891	-6.245592861291002	Wine Shop
41	FaceBook	DUBLIN	53.329515	-6.2256781	Zakura Noodle & Sushi	53.33382739335188	-6.244926075095207	Japanese Restaurant
42	FaceBook	DUBLIN	53.329515	-6.2256781	Ringsend Park	53.34200740093842	-6.223206655891446	Park
43	FaceBook	DUBLIN	53.329515	-6.2256781	RDS Concert Hall	53.328153712702175	-6.229869956732686	Concert Hall
44	FaceBook	DUBLIN	53.329515	-6.2256781	Third Floor Espresso (3FE)	53.339865	-6.242132	Coffee Shop
45	FaceBook	DUBLIN	53.329515	-6.2256781	Butlers Townhouse Hotel	53.33398813465048	-6.232013457031289	Hotel
46	FaceBook	DUBLIN	53.329515	-6.2256781	Dublin Bay	53.334547	-6.21268	Beach
47	FaceBook	DUBLIN	53.329515	-6.2256781	Google Swimming Pool	53.339794056782964	-6.237173974514008	Pool
48	FaceBook	DUBLIN	53.329515	-6.2256781	The Chop House	53.33707380068887	-6.2343233084732645	Gastropub
49	FaceBook	DUBLIN	53.329515	-6.2256781	Shelbourne Social	53.33176997965027	-6.232327222824097	Restaurant
50	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Grand Canal Dock	53.34260914378246	-6.23936201549253	Plaza
51	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Third Floor Espresso (3FE)	53.339865	-6.242132	Coffee Shop
52	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Google Gym	53.33987733270209	-6.237345635890961	Gym
53	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Marker Hotel Dublin	53.34424025976609	-6.239015414214336	Hotel
54	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Grand Canal Square	53.343901193836416	-6.238461870495741	Plaza
55	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Google Swimming Pool	53.339794056782964	-6.237173974514008	Pool
56	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Paulie's Pizza	53.337259766693194	-6.234690803704816	Pizza Place
57	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Schoolhouse Bar	53.3373418499578	-6.239585178618902	Pub
58	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Il Valentino	53.34258373654432	-6.2389314481114555	Bakery
59	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Juniors Deli Cafe	53.33715952435395	-6.2342225964389	Café
60	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Bord Gáis Energy Theatre	53.344089880104	-6.239203766138306	Theater
61	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Ocean 11	53.339775306479495	-6.23725162885565	Bar
62	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Lotts & Co	53.337662471068384	-6.233528838007845	Gourmet Shop
63	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Art of Coffee	53.342185173350174	-6.2387981355745445	Coffee Shop
64	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Marker Rooftop Bar	53.34455033886318	-6.239027504826227	Hotel Bar
65	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Foodgame	53.33745241241583	-6.234235490380064	Café
66	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Marker Spa & Wellness	53.34467037793503	-6.2393174866133005	Spa
67	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Herbstreet	53.344294	-6.237792	Breakfast Spot
68	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Press Cafe	53.33505764739972	-6.235269426252875	Café
69	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Merrion Square Park	53.34013752866365	-6.250450753527079	Park
70	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Perpetua Fitness Dublin	53.34489600804834	-6.243571043014526	Gym
71	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Bath	53.337374176474874	-6.2321477607528895	Pub
72	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Farmer Browns	53.33726019892185	-6.231863534833305	Café
73	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	SPORTSCO	53.339269309475455	-6.23038689233817	Gym / Fitness Center
74	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Oscar Wilde Statue	53.34093732730395	-6.250692050637122	Outdoor Sculpture
75	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Grand Canal Quay Market	53.34186363333877	-6.23884796822367	Farmers Market
76	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	National Print Museum	53.33510415874548	-6.235390099601148	Museum
77	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Old Spot	53.33733357390815	-6.2331144589680205	Gastropub
78	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Samuel Beckett Bridge	53.34690075088842	-6.241307258605957	Bridge
79	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Cellar Bar	53.33873930127713	-6.252876140259834	Hotel Bar
80	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Bread 41	53.344812	-6.251619	Bakery
81	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Lolly & Cooks	53.344563075610445	-6.2383793732915205	Café
82	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Brookwood Restaurant	53.33791145571863	-6.252599304734478	Steakhouse
83	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Charlotte Quay	53.342823754294734	-6.236853665322997	Restaurant
84	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Zakura Noodle & Sushi	53.33382739335188	-6.244926075095207	Japanese Restaurant
85	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Aviva Stadium	53.33475615864167	-6.228088097073558	Soccer Stadium
86	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	EPIC The Irish Emigration Museum	53.34832258803262	-6.248130798339844	Museum
87	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	J2 Grill & Sushi	53.34771247771018	-6.243839757690937	Sushi Restaurant
88	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Dylan Hotel	53.33371867679343	-6.241937727174799	Hotel
89	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	National Gallery of Ireland	53.34155790523571	-6.252528130522927	Art Museum
90	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Famine Memorial	53.34805870531647	-6.250107868518107	Sculpture Garden
91	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Smyths of Haddington Road	53.33469912350612	-6.243274768243235	Pub
92	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Chop House	53.33707380068887	-6.2343233084732645	Gastropub
93	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	The Oarsman	53.341633	-6.227719	Pub
94	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Baggot Street Wines	53.33237385692891	-6.245592861291002	Wine Shop
95	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Seven Wonders	53.348313479291456	-6.243677063060393	Café
96	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Init Yoga	53.341595849087525	-6.231674814194533	Yoga Studio
97	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Hodges Figgis	53.34220235099416	-6.257916902841114	Bookstore
98	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Matt The Thresher	53.33704987242939	-6.25177301994876	Seafood Restaurant
99	Google Grand Canal Quay	DUBLIN	53.3406272	-6.239397299999999	Mespil Gourmet Food Market	53.33359844666875	-6.24741052081135	Farmers Market
100	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Grand Canal Dock	53.34260914378246	-6.23936201549253	Plaza
101	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Third Floor Espresso (3FE)	53.339865	-6.242132	Coffee Shop
102	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Google Gym	53.33987733270209	-6.237345635890961	Gym
103	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Marker Hotel Dublin	53.34424025976609	-6.239015414214336	Hotel
104	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Grand Canal Square	53.343901193836416	-6.238461870495741	Plaza
105	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Google Swimming Pool	53.339794056782964	-6.237173974514008	Pool
106	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Paulie's Pizza	53.337259766693194	-6.234690803704816	Pizza Place
107	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Schoolhouse Bar	53.3373418499578	-6.239585178618902	Pub
108	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Il Valentino	53.34258373654432	-6.2389314481114555	Bakery
109	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Bord Gáis Energy Theatre	53.344089880104	-6.239203766138306	Theater
110	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Juniors Deli Cafe	53.33715952435395	-6.2342225964389	Café
111	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Ocean 11	53.339775306479495	-6.23725162885565	Bar
112	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Lotts & Co	53.337662471068384	-6.233528838007845	Gourmet Shop
113	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Art of Coffee	53.342185173350174	-6.2387981355745445	Coffee Shop
114	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Marker Rooftop Bar	53.34455033886318	-6.239027504826227	Hotel Bar
115	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Marker Spa & Wellness	53.34467037793503	-6.2393174866133005	Spa
116	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Foodgame	53.33745241241583	-6.234235490380064	Café
117	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Herbstreet	53.344294	-6.237792	Breakfast Spot
118	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Press Cafe	53.33505764739972	-6.235269426252875	Café
119	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Merrion Square Park	53.34013752866365	-6.250450753527079	Park
120	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Perpetua Fitness Dublin	53.34489600804834	-6.243571043014526	Gym
121	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Bath	53.337374176474874	-6.2321477607528895	Pub
122	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Farmer Browns	53.33726019892185	-6.231863534833305	Café
123	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	SPORTSCO	53.339269309475455	-6.23038689233817	Gym / Fitness Center
124	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Oscar Wilde Statue	53.34093732730395	-6.250692050637122	Outdoor Sculpture
125	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Samuel Beckett Bridge	53.34690075088842	-6.241307258605957	Bridge
126	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Grand Canal Quay Market	53.34186363333877	-6.23884796822367	Farmers Market
127	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Old Spot	53.33733357390815	-6.2331144589680205	Gastropub
128	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	National Print Museum	53.33510415874548	-6.235390099601148	Museum
129	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Bread 41	53.344812	-6.251619	Bakery
130	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Cellar Bar	53.33873930127713	-6.252876140259834	Hotel Bar
131	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Lolly & Cooks	53.344563075610445	-6.2383793732915205	Café
132	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Charlotte Quay	53.342823754294734	-6.236853665322997	Restaurant
133	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	EPIC The Irish Emigration Museum	53.34832258803262	-6.248130798339844	Museum
134	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Brookwood Restaurant	53.33791145571863	-6.252599304734478	Steakhouse
135	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Aviva Stadium	53.33475615864167	-6.228088097073558	Soccer Stadium
136	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Zakura Noodle & Sushi	53.33382739335188	-6.244926075095207	Japanese Restaurant
137	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	J2 Grill & Sushi	53.34771247771018	-6.243839757690937	Sushi Restaurant
138	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Famine Memorial	53.34805870531647	-6.250107868518107	Sculpture Garden
139	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	National Gallery of Ireland	53.34155790523571	-6.252528130522927	Art Museum
140	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Dylan Hotel	53.33371867679343	-6.241937727174799	Hotel
141	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Smyths of Haddington Road	53.33469912350612	-6.243274768243235	Pub
142	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Oarsman	53.341633	-6.227719	Pub
143	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Seven Wonders	53.348313479291456	-6.243677063060393	Café
144	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	The Chop House	53.33707380068887	-6.2343233084732645	Gastropub
145	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Init Yoga	53.341595849087525	-6.231674814194533	Yoga Studio
146	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Baggot Street Wines	53.33237385692891	-6.245592861291002	Wine Shop
147	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Hodges Figgis	53.34220235099416	-6.257916902841114	Bookstore
148	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Matt The Thresher	53.33704987242939	-6.25177301994876	Seafood Restaurant
149	Google Building GRCQ1	DUBLIN	53.3407396	-6.239370999999999	Urban Brewing	53.34912805841099	-6.2482763567154125	Beer Bar
150	Google	DUBLIN	53.3400468	-6.2357441	Google Gym	53.33987733270209	-6.237345635890961	Gym
151	Google	DUBLIN	53.3400468	-6.2357441	Paulie's Pizza	53.337259766693194	-6.234690803704816	Pizza Place
152	Google	DUBLIN	53.3400468	-6.2357441	Grand Canal Dock	53.34260914378246	-6.23936201549253	Plaza
153	Google	DUBLIN	53.3400468	-6.2357441	Juniors Deli Cafe	53.33715952435395	-6.2342225964389	Café
154	Google	DUBLIN	53.3400468	-6.2357441	Lotts & Co	53.337662471068384	-6.233528838007845	Gourmet Shop
155	Google	DUBLIN	53.3400468	-6.2357441	Foodgame	53.33745241241583	-6.234235490380064	Café
156	Google	DUBLIN	53.3400468	-6.2357441	Third Floor Espresso (3FE)	53.339865	-6.242132	Coffee Shop
157	Google	DUBLIN	53.3400468	-6.2357441	Google Swimming Pool	53.339794056782964	-6.237173974514008	Pool
158	Google	DUBLIN	53.3400468	-6.2357441	The Schoolhouse Bar	53.3373418499578	-6.239585178618902	Pub
159	Google	DUBLIN	53.3400468	-6.2357441	The Marker Hotel Dublin	53.34424025976609	-6.239015414214336	Hotel
160	Google	DUBLIN	53.3400468	-6.2357441	Grand Canal Square	53.343901193836416	-6.238461870495741	Plaza
161	Google	DUBLIN	53.3400468	-6.2357441	The Bath	53.337374176474874	-6.2321477607528895	Pub
162	Google	DUBLIN	53.3400468	-6.2357441	Ocean 11	53.339775306479495	-6.23725162885565	Bar
163	Google	DUBLIN	53.3400468	-6.2357441	Press Cafe	53.33505764739972	-6.235269426252875	Café
164	Google	DUBLIN	53.3400468	-6.2357441	Farmer Browns	53.33726019892185	-6.231863534833305	Café
165	Google	DUBLIN	53.3400468	-6.2357441	SPORTSCO	53.339269309475455	-6.23038689233817	Gym / Fitness Center
166	Google	DUBLIN	53.3400468	-6.2357441	Il Valentino	53.34258373654432	-6.2389314481114555	Bakery
167	Google	DUBLIN	53.3400468	-6.2357441	Bord Gáis Energy Theatre	53.344089880104	-6.239203766138306	Theater
168	Google	DUBLIN	53.3400468	-6.2357441	The Art of Coffee	53.342185173350174	-6.2387981355745445	Coffee Shop
169	Google	DUBLIN	53.3400468	-6.2357441	The Old Spot	53.33733357390815	-6.2331144589680205	Gastropub
170	Google	DUBLIN	53.3400468	-6.2357441	Herbstreet	53.344294	-6.237792	Breakfast Spot
171	Google	DUBLIN	53.3400468	-6.2357441	The Marker Rooftop Bar	53.34455033886318	-6.239027504826227	Hotel Bar
172	Google	DUBLIN	53.3400468	-6.2357441	The Marker Spa & Wellness	53.34467037793503	-6.2393174866133005	Spa
173	Google	DUBLIN	53.3400468	-6.2357441	Aviva Stadium	53.33475615864167	-6.228088097073558	Soccer Stadium
174	Google	DUBLIN	53.3400468	-6.2357441	National Print Museum	53.33510415874548	-6.235390099601148	Museum
175	Google	DUBLIN	53.3400468	-6.2357441	The Oarsman	53.341633	-6.227719	Pub
176	Google	DUBLIN	53.3400468	-6.2357441	Perpetua Fitness Dublin	53.34489600804834	-6.243571043014526	Gym
177	Google	DUBLIN	53.3400468	-6.2357441	Merrion Square Park	53.34013752866365	-6.250450753527079	Park
178	Google	DUBLIN	53.3400468	-6.2357441	Init Yoga	53.341595849087525	-6.231674814194533	Yoga Studio
179	Google	DUBLIN	53.3400468	-6.2357441	The Chop House	53.33707380068887	-6.2343233084732645	Gastropub
180	Google	DUBLIN	53.3400468	-6.2357441	Grand Canal Quay Market	53.34186363333877	-6.23884796822367	Farmers Market
181	Google	DUBLIN	53.3400468	-6.2357441	Ringsend Park	53.34200740093842	-6.223206655891446	Park
182	Google	DUBLIN	53.3400468	-6.2357441	Charlotte Quay	53.342823754294734	-6.236853665322997	Restaurant
183	Google	DUBLIN	53.3400468	-6.2357441	Lolly & Cooks	53.344563075610445	-6.2383793732915205	Café
184	Google	DUBLIN	53.3400468	-6.2357441	Samuel Beckett Bridge	53.34690075088842	-6.241307258605957	Bridge
185	Google	DUBLIN	53.3400468	-6.2357441	The Merry Cobbler	53.33859906092062	-6.222624207309973	Pub
186	Google	DUBLIN	53.3400468	-6.2357441	Zakura Noodle & Sushi	53.33382739335188	-6.244926075095207	Japanese Restaurant
187	Google	DUBLIN	53.3400468	-6.2357441	Ariel House	53.33419400803916	-6.231051338389682	Hotel
188	Google	DUBLIN	53.3400468	-6.2357441	Oscar Wilde Statue	53.34093732730395	-6.250692050637122	Outdoor Sculpture
189	Google	DUBLIN	53.3400468	-6.2357441	Dylan Hotel	53.33371867679343	-6.241937727174799	Hotel
190	Google	DUBLIN	53.3400468	-6.2357441	Beggar's Bush	53.33644142731489	-6.237074738034532	Pub
191	Google	DUBLIN	53.3400468	-6.2357441	The Cellar Bar	53.33873930127713	-6.252876140259834	Hotel Bar
192	Google	DUBLIN	53.3400468	-6.2357441	Bread 41	53.344812	-6.251619	Bakery
